Dataset Title,Dataset Name,Views,Visits,Resource downloads,Period Name
A&E and Ambulance weekly data,ae_and_ambulance_weekly_data,225,80,15,all
Rhondda Cynon Taf CBC - Local Development Plan,rctldp,225,25,43,all
"Spend over £25,000 in Royal Cornwall Hospitals NHS Trust",financial-transactions-data-royal-cornwall-hospitals-nhs-trust,225,56,113,all
"Senior Officials expenses,travel and hospitality in DWP",senior-officials-expenses-travel-and-hospitality-in-dwp,224,88,12,all
NI 103 - Special Educational Needs statements issued within 26 weeks,ni-103-special-educational-needs-statements-issued-within-26-weeks,224,107,0,all
2011 Census,2011_census__,224,9,0,all
National Kidney Care Audit Reports,national-kidney-care-audit-report,224,88,0,all
"Business growth, access to finance and performance outcomes in the recession",business-growth-finance-performance-in-recession,224,69,11,all
Drug misuse,drug_misuse,224,7,0,all
"Spend over £25,000 in Mersey Care NHS Trust",financial-transactions-data-mersey-care-nhs-trust,224,9,77,all
Performance Indicators in Higher Education in the UK,performance_indicators_in_higher_education_in_the_uk,224,52,0,all
Communal establishment residents  (2001 Census),communal_establishment_residents_2001_census,224,164,0,all
Property transactions - Land Registry (Quarterly),property-transactions-land-registry-quarterly,224,28,0,all
Wallingford Meteorological Station records: Automatic Weather Station observations,wallingford-meteorological-station-records-automatic-weather-station-observations,224,92,0,all
"Ministerial gifts, hospitality, travel and meetings with external organisations in the Department for Business, Innovation and Skills",disclosure-ministerial-hospitality-received-department-for-business,223,81,12,all
Attendance Allowance (AA),attendance_allowance_aa,223,148,0,all
Community Punishment Order (CPO),community_punishment_order_cpo,223,176,0,all
Maintained school inspections and outcomes,maintained_school_inspections_and_outcomes,223,6,24,all
Hospital Episode Statistics: Emergency readmissions to hospital within 28 days of discharge,hospital_episode_statistics-emergency_readmissions_to_hospital_within_28_days_of_discharge,223,52,51,all
Wychavon District Council Article 4 Direction,wychavon-district-council-article-4-direction4,223,27,16,all
Breastfeeding prevalence and Early Access to NHS maternity services in London,london-nhs-breastfeeding-and-early-access-to-maternity-services-pct,223,135,0,all
Forestry Commission GB National Inventory of Woodland & Trees(1),forestry-commission-gb-national-inventory-of-woodland-trees1,223,71,0,all
Public Perception of Safety on Public Transport,public_perception_of_safety_on_public_transport,222,152,0,all
Organogram and staff pay data for Thurrock Thames Gateway Development Corporation,staff-organograms-and-pay-thurrock-thames-gateway-development-corporation,222,88,10,all
Dedicated Woodlands,dedicated-woodlands,222,155,0,all
Independent Schools' Census,independent_schools_census,222,100,0,all
Council Tax Levels set by Local Authorities in England,council_tax_levels_set_by_local_authorities_in_england,222,68,0,all
Child Support Agency Quarterly Summary of Statistics,child_support_agency_quarterly_summary_of_statistics,222,112,24,all
Organogram and staff pay data for Vehicle Certification Agency,organogram-vca,221,56,0,all
"IPCC Chair, Commissioners, Chief Executive and Directors business expenses",expenses,221,68,132,all
PE and Sport Survey:,pe_and_sport_survey_-,221,20,0,all
Immigration Statistics: asylum,immigration-statistics-asylum,221,42,107,all
Outfall Discharge Points,outfall-discharge-points,221,55,0,all
Regional Economic Analysis,regional_economic_analysis,221,60,10,all
Long-Term International Migration,long-term_international_migration,221,119,21,all
Youth Unemployment Statistics in Scotland,youth_unemployment_statistics_in_scotland,221,104,341,all
Household Waste Recycling Centre Data,warwickshire-household-waste-recycling-centre-data,220,111,0,all
Listed Buildings,listed-buildings1,220,13,0,all
Housing in England,housing_in_england,220,14,686,all
"Electricity consumption by households in the UK, 2000 to 2008",electricity-consumption-by-households-in-the-uk-2000-to-2008,220,9,15,all
Trace metals in soils in the West Bristol (Avonmouth) area - map of sample locations,trace-metals-in-soils-in-the-west-bristol-avonmouth-area-map-of-sample-locations,220,96,0,all
Organogram and staff pay data for Training and Development Agency for Schools,staff-organograms-and-pay-tda,220,118,11,all
Summary of Indicative Quality Indicator Results from HMIE Inspections,summary_of_indicative_quality_indicator_results_from_hmie_inspections,220,155,0,all
Services Producer Price Index,services_producer_price_index,219,117,0,all
Weather Extremes,weather-extremes,219,11,11,all
"NHS Immunisation Statistics, England 2010-11",nhs-immunisation-statistics-england-2010-11,219,67,41,all
"Spend over £25,000 in the Northern Ireland Office",financial-transactions-data-nio,219,38,15,all
"NHS Contraceptive Services: England, 2010/11, Community Contraceptive Clinics",nhs-contraceptive-services-england-2010-2011-community-contraceptive-clinics,219,91,16,all
UK Regional Trade in Goods estimates,uk_regional_trade_in_goods_estimates,219,101,40,all
"Adult Social Care Survey, England",adult_social_care_survey_england,219,63,55,all
Food Chain Total Factor Productivity,food_chain_total_factor_productivity,219,97,11,all
"Spend over £25,000 in Dudley and Walsall Mental Health Partnership NHS Trust",financial-transactions-data-dwmhpt,218,13,51,all
GSNI 250K Geology (Download),gsni-250k-geology-download,218,82,0,all
"Spend over £25,000 in Export Credits Guarantee Department",financial-transactions-data-ecgd,218,3,0,all
"Bus and Light Rail Statistics, Great Britain",bus_and_light_rail_statistics_great_britain,218,109,0,all
NHS Staff 2000 - 2010 (General Practice),nhs-staff-2000-2010-general-practice,218,43,50,all
Nitrous oxide emissions from agriculture,nitrous-oxide-emissions-from-agriculture,218,148,0,all
Teenage lone parents in social rented housing,teenage_pregnancy_-_teenage_lone_parents_in_social_rented_housing,218,123,0,all
Payments to suppliers with a value over £500 from Sandwell Metropolitan Borough Council,local-uthority-spend-over-500-sandwell-mbc,218,77,0,all
NI 062 - Stability of placements of looked after children: number of placements,ni_062_-_stability_of_placements_of_looked_after_children_-_number_of_placements,217,130,0,all
Real-time energy and CO2 data for DWP headquarters building,dwp-energy-and-water-consumption,217,83,23,all
ukcp09: Gridded Datasets of Monthly values - Days of rainfall ≥10 mm,ukcp09-monthly-values-rainfall-10mm,217,96,27,all
The National Archives - Tender Documents,national-archives-tender-documents,217,78,0,all
Public Service Productivity,public_service_productivity,217,77,14,all
Seatbelt and mobile phone use in England,seatbelt_and_mobile_phone_use_in_england,217,22,125,all
Petrobangla (Bangladesh) Seismic Survey Data,petrobangla-bangladesh-seismic-survey-data,217,156,0,all
Reference Samples Of Building Stones.,reference-samples-of-building-stones,217,151,0,all
Race in the Criminal Justice System: Racist incidents,race_in_the_criminal_justice_system_-_racist_incidents,216,131,0,all
Organogram and staff pay data for Office of the Immigration Services Commissioner,staff-organograms-and-pay-oisc,216,116,0,all
BLPU,blpu,216,148,0,all
Further Education and Skills in England: Annual Data,further-education-and-skills-annual-data,216,32,27,all
Water Framework Directive - Management Catchments,water-framework-directive-management-catchments1,216,52,0,all
Warwickshire Schools (Detail),warwickshire-schools-detail,216,28,18,all
Government office regions (Eng) 2010 Names and Codes,government-office-regions-eng-2010-names-and-codes,216,145,0,all
Environment in Your Pocket,environment_in_your_pocket,216,108,0,all
Department for Education - Contracts,dfe-contracts,216,75,0,all
AFBI General Soil Map of Northern Ireland (Metadata).,afbi-general-soil-map-of-northern-ireland-metadata,215,92,0,all
"Spend over £25,000 in Cornwall Partnership NHS Foundation Trust",25k_monthly_expenditure,215,16,22,all
Fatal injuries in the workplace,fatal_injuries_in_the_workplace,215,83,0,all
Prescribing for diabetes in England,prescribing_for_diabetes_in_england,215,86,11,all
Geophysical Surveys In Africa,geophysical-surveys-in-africa,215,117,0,all
IDENT1,ident1,215,181,0,all
Milk Price Northern Ireland,milk_price_northern_ireland,215,110,0,all
Unpaid care (2001 Census),unpaid_care_2001_census,214,130,10,all
Trace metals in soils in the West Bristol (Avonmouth) area,trace-metals-in-soils-in-the-west-bristol-avonmouth-area,214,71,31,all
Modern workplaces [consultation]: government response on flexible parental leave. Impact assessment.,government-response-flexible-parental-leave-impact-assessment,214,123,22,all
Highways Agency Drainage Data Management System (HADDMS),highways-agency-drainage-data-management-system-haddms,214,138,0,all
"Organogram and staff pay data for the Centre for Environment, Fisheries & Aquaculture Science",staff-organograms-and-pay-cefas,214,85,42,all
Measuring Tax Gaps,measuring_tax_gaps,214,85,13,all
Average weekly earnings time series dataset,employment-earnings,213,19,0,all
"Spend over £25,000 for National Gallery",financial-transactions-national-gallery,213,28,50,all
Digital Geological Map Data of Great Britain - 50k (DiGMapGB-50),digital-geological-map-data-of-great-britain-50k-digmapgb-50,213,95,0,all
Specialist schools,specialist_schools,213,4,0,all
"Spend over £25,000 in Monitor",financial-transactions-data-monitor,213,71,462,all
Senior Staff Meetings with external organisations in the Ministry of Defence,senior-staff-meetings-with-external-organisations-ministry-of-defence,213,36,13,all
"Homicides, firearms and intimate violence. Supplementary Volume 2 to Crime in England and Wales",homicides-firearms-and-intimate-violence-supplementary-,213,53,12,all
Poverty and Income Inequality in Scotland,poverty_and_income_inequality_in_scotland,213,117,10,all
Water Framework Directive - Lake Waterbodies (WFS),water-framework-directive-lake-waterbodies-wfs,213,49,0,all
Organogram and staff pay data for the Consumer Council for Water,staff-organograms-and-pay-ccwater,213,73,0,all
The Composition of Schools in England,the_composition_of_schools_in_england,213,114,0,all
DCLG Floor Targets Interactive tool: NI 031 Re-offending rate of registered sex offenders,ni_031_re-offending_rate_of_registered_sex_offenders,212,129,0,all
National Firearms Licensing Management System,national-firearms-licensing-management-system,212,155,0,all
Historic Land-use Assessment,historic-land-use-assessment,212,93,0,all
Business perceptions of regulation survey 2012,business-perceptions-of-regulation-survey-2012,212,104,34,all
Payments to suppliers with a value over £500 from Cheshire West and Chester Council ,local-authority-spending-over-500-cheshire-west-and-chester,212,73,25,all
Welsh Government Land Cover view service.,welsh-government-land-cover-view-service,212,21,0,all
"Credit, debt and financial difficulty in Britain, 2011: report from YouGov DebtTrack survey data",credit-debt-and-financial-difficulty-in-britain-2011-report-from-yougov-debttrack-survey-data,212,32,28,all
FCS Administrative Boundaries WMS,fcs-administrative-boundaries-wms,212,54,0,all
Census of Drug and Alcohol Treatment Services in Northern Ireland,census_of_drug_and_alcohol_treatment_services_in_northern_ireland,212,116,0,all
Schools achieving 5+ GCSEs grades A* to C target,schools_achieving_5_gcses_grades_a_to_c_target,212,140,0,all
LPS OSNI Pointer (INSPIRE View Service),lps-osni-pointer-inspire-view-service,211,43,0,all
